project_name,seq_num,template,capacity_nominal,initial_charge_voltage_1,initial_charge_current_1,initial_charge_cvhold_1,initial_charge_rest_1,initial_charge_voltage_2,initial_charge_current_2,initial_charge_cvhold_2,initial_charge_rest_2,initial_discharge_voltage_1,initial_discharge_current_1,mid_charge_voltage_1,mid_charge_current_1,mid_discharge_voltage_1,mid_discharge_current_1,mid_cycle_reps,final_charge_voltage_1,final_charge_current_1,final_discharge_voltage_1,final_discharge_current_1,final_discharge_cvhold_1,initial_temperature_1,pressure
Form,100,formationV1.mps,0.2,3.5,0.1,60,30,4.2,0.2,30,30,3,0.2,4.1,0.5,3.9,0.5,2,4.2,1,3.5,1,30,30,
Form,101,formationV1.mps,0.2,3.7,0.1,60,30,4.2,0.2,30,30,3,0.2,4.1,0.5,3.9,0.5,2,4.2,1,3.5,1,30,30,
Form,102,formationV1.mps,0.2,3.8,0.1,60,30,4.2,0.2,30,30,3,0.2,4.1,0.5,3.9,0.5,2,4.2,1,3.5,1,30,30,
Form,103,formationV1.mps,0.2,3.9,0.1,60,30,4.2,0.2,30,30,3,0.2,4.1,0.5,3.9,0.5,2,4.2,1,3.5,1,30,30,
Form,104,formationV1.mps,0.2,3.5,0.1,60,30,4.2,0.2,30,30,3,0.2,4.1,0.5,3.9,0.5,2,4.2,1,3.5,1,30,40,
Form,105,formationV1.mps,0.2,3.7,0.1,60,30,4.2,0.2,30,30,3,0.2,4.1,0.5,3.9,0.5,2,4.2,1,3.5,1,30,40,
Form,106,formationV1.mps,0.2,3.8,0.1,60,30,4.2,0.2,30,30,3,0.2,4.1,0.5,3.9,0.5,2,4.2,1,3.5,1,30,40,
Form,107,formationV1.mps,0.2,3.9,0.1,60,30,4.2,0.2,30,30,3,0.2,4.1,0.5,3.9,0.5,2,4.2,1,3.5,1,30,40,
Form,108,formationV1.mps,0.2,3.5,0.1,60,30,4.2,0.2,30,30,3,0.2,4.1,0.5,3.9,0.5,2,4.2,1,3.5,1,30,45,
Form,109,formationV1.mps,0.2,3.7,0.1,60,30,4.2,0.2,30,30,3,0.2,4.1,0.5,3.9,0.5,2,4.2,1,3.5,1,30,45,
Form,110,formationV1.mps,0.2,3.8,0.1,60,30,4.2,0.2,30,30,3,0.2,4.1,0.5,3.9,0.5,2,4.2,1,3.5,1,30,45,
Form,111,formationV1.mps,0.2,3.9,0.1,60,30,4.2,0.2,30,30,3,0.2,4.1,0.5,3.9,0.5,2,4.2,1,3.5,1,30,45,
Form,112,formationV1.mps,0.2,3.5,0.1,60,30,4.2,0.2,30,30,3,0.2,4.1,0.5,3.9,0.5,2,4.2,1,3.5,1,30,50,
Form,113,formationV1.mps,0.2,3.7,0.1,60,30,4.2,0.2,30,30,3,0.2,4.1,0.5,3.9,0.5,2,4.2,1,3.5,1,30,50,
Form,114,formationV1.mps,0.2,3.8,0.1,60,30,4.2,0.2,30,30,3,0.2,4.1,0.5,3.9,0.5,2,4.2,1,3.5,1,30,50,
Form,115,formationV1.mps,0.2,3.9,0.1,60,30,4.2,0.2,30,30,3,0.2,4.1,0.5,3.9,0.5,2,4.2,1,3.5,1,30,50,
